,average,sd,ratio,ava,avb,cumsum,p
d__Bacteria.k__.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__NS11.12_marine_group,0.000144251,0.000209645,0.688074923,1,0.6,0.990245387,0.01
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Defluviicoccales.f__uncultured,0.000144251,0.00019336,0.746022553,1.4,0.2,0.990407013,0.007
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae,0.000144251,0.000118111,1.221316054,1.4,0.2,0.990568639,0.776
d__Bacteria.k__.p__Planctomycetota.c__Planctomycetes.o__Planctomycetales.f__Gimesiaceae,0.000140008,0.000185542,0.754593775,0.4,1.4,0.990725511,0.516
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Thiohalorhabdales.f__Thiohalorhabdaceae,0.000140008,0.000104822,1.33567485,1.6,0.6,0.990882384,0.046
d__Bacteria.k__.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__AB1,0.000131523,0.000199094,0.660609506,1.2,0.2,0.991029749,0.149
d__Bacteria.k__.p__Bdellovibrionota.c__Bdellovibrionia.o__Bdellovibrionales.f__Bdellovibrionaceae,0.00012728,8.10E-05,1.57116881,1.2,0,0.99117236,0.035
d__Bacteria.k__.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales.f__,0.00012728,0.000159101,0.8,1.2,0,0.991314971,0.425
d__Bacteria.k__.p__WPS.2.c__.o__.f__,0.00012728,0.000173207,0.734846923,1.2,0,0.991457583,0.713
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Nitrosomonadaceae,0.00012728,0.00025981,0.489897949,1.2,0,0.991600194,0.001
d__Bacteria.k__.p__Chloroflexi.c__Chloroflexia.o__Chloroflexales.f__Roseiflexaceae,0.00012728,0.00025981,0.489897949,1.2,0,0.991742805,0.001
d__Bacteria.k__.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Coleofasciculaceae,0.000123038,0.000177695,0.692408787,0.8,0.6,0.991880663,0.264
d__Bacteria.k__.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae,0.000118795,0.00020384,0.582785543,0.2,1,0.992013767,0.44
