OTU ID	Mytilisepta.virgata	Cellana.toreuma	Siphonaria.laciniosa	Saccostrea.cucullata	Lunella.granulata	Echinolittorina.malaccana	Reishia.clavigera	Barbatia.virescens	Monodonta.labio	Saccostrea.mordax	Tenguella.musiva	Echinolittorina.radiata	Isognomon.nucleus
e6c35b05efc0f92235d0b69ac6021471	0	0	0	0	0	0	0	1454	0	0	0	0	0
74e1f1813f7b2801bc94324290d6daab	3	0	0	0	0	0	0	3	0	0	0	0	0
9697d83cda494db7ef91463663311fee	0	1	0	0	0	0	0	0	0	0	0	5	0
923c5853a239680819bad57a383ebffe	1	5	3	0	0	0	0	0	0	0	0	0	0
5dc516c5aadcbb0a1b9bd44a8934a572	6	2	12	4	32	3	1	0	0	12	10	3	1
d8e64f54b6eb5419cffeeb589c3f1c99	3	0	0	0	0	0	0	0	0	0	0	0	0
c7dfec60c129bac0c1ebe391fa21de67	1535	0	0	0	0	0	0	0	0	0	0	0	0
392bef4e1304e2ef7bab10a4859bef64	0	0	0	0	0	7	0	0	0	0	0	1	0
268f5a5db187c7d4d933730282676691	0	0	0	0	0	0	0	0	0	6	0	0	0
f87bc2dec184a545a68d5dcf11272d3d	0	0	0	0	0	0	0	0	42	0	0	0	0
740a093879f0f91f8cdaef47e70d4d6c	0	1	2	0	0	0	0	0	0	0	0	0	0
d53c56a4b77dda0f48ce2dceae75c158	0	4	0	0	0	0	0	0	0	0	0	2	5
02d7a25f17238a5b076a525901571306	1	3	0	0	0	0	0	0	0	0	0	8	0
69f774fc8f7d1f73c31939e080623b82	4	0	0	0	0	0	0	3	0	0	0	0	0
50b369b9d58325b65f4b77d799ffebd0	5	0	0	0	0	0	0	2	0	0	0	0	0
5c4c92ce4649b0144a2b0c11ebcef263	0	308	0	0	0	0	0	0	0	2	0	0	0
6dbe787e2a5378dd6efc3420f59212b5	0	0	0	56	0	0	0	0	0	0	0	0	0
35521d684b4f20dc5ee846a497fc3d38	6	0	0	0	0	0	0	0	0	0	0	0	0
763d3d5f99773fc879fc72c879e61188	0	0	341	0	0	0	0	0	3	0	0	0	0
30e29b6b1ff11d8881d8cfea662205db	18	154	1418	4	10	523	3041	8	2	0	81	1014	0
d0eaba6cd00cfed9e5b6b86bfb87a214	0	21	190	0	0	13	0	0	0	0	0	0	0
ca2c5ceb1634abe91e7099846c794b51	0	0	0	11	0	0	0	1	0	0	0	0	0
5b630eb81354e80bc2ac3373920cf0b5	2	6	0	0	0	0	0	0	0	0	0	0	2
a8803a7ebf7addbc788b4a6b26394954	0	74	744	0	25	134	968	0	0	0	0	476	0
f0a234444edd443be7d8d5d9d7af0d0b	1	0	0	0	0	0	0	2	0	0	0	0	0
18a9be0b4c0ce954180cd972e51f6a94	3	112	0	0	0	0	0	0	0	0	0	54	0
21c2a8e88b52e885cc7ac02b92df6140	0	4	3	0	0	0	0	0	0	0	0	0	0
01b87edbb5444bfddbfb4ed7785b0547	2	0	0	0	0	1	0	0	0	0	0	0	0
08113ae4ecfd100344340047145b527c	0	0	0	0	0	0	0	0	0	0	342	0	0
8d8644626a370d5eab112b6bc56d3681	0	0	0	23	0	0	0	0	0	0	0	0	0
0933a1c6f692e60558451733b952643c	0	0	0	0	0	3	0	0	0	0	0	19	2
